BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
GCF_001894885.1_ASM189488v1_genomic_NZ_BCXB01000001.1.region002	NZ_BCXB01000001.1	Rhodococcus marinonascens NBRC 14363, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Rhodococcus marinonascens NBRC 14363	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus
GCF_001895005.1_ASM189500v1_genomic_NZ_BCXH01000004.1.region001	NZ_BCXH01000004.1	Rhodococcus yunnanensis NBRC 103083, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Rhodococcus yunnanensis NBRC 103083	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus
GCF_001895025.1_ASM189502v1_genomic_NZ_BCXI01000007.1.region002	NZ_BCXI01000007.1	Rhodococcus zopfii NBRC 100606 = JCM 9919 strain NBRC 100606, whole genome shotgun sequence	NRP-siderophore.NRPS.RiPP-like	Others	Rhodococcus zopfii NBRC 100606 = JCM 9919	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus
GCF_001895205.1_ASM189520v1_genomic_NZ_BDJF01000027.1.region003	NZ_BDJF01000027.1	Vibrio injenensis strain M12-1144, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Vibrio injenensis	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
GCF_001904655.1_ASM190465v1_genomic_NZ_MRCC01000004.1.region001	NZ_MRCC01000004.1	Chroogloeocystis siderophila 5.2 s.c.1 NIES-1031_Scaffold_4, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Chroogloeocystis siderophila 5.2 s.c.1	Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Chroococcaceae,Chroogloeocystis
GCF_001905345.1_ASM190534v1_genomic_NZ_LFBV01000003.1.region001	NZ_LFBV01000003.1	Streptomyces uncialis strain DCA2648 scaffold3, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Streptomyces uncialis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_001905345.1_ASM190534v1_genomic_NZ_LFBV01000003.1.region005	NZ_LFBV01000003.1	Streptomyces uncialis strain DCA2648 scaffold3, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Streptomyces uncialis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
GCF_001907675.1_ASM190767v1_genomic_NZ_MPNT01000006.1.region002	NZ_MPNT01000006.1	Mycobacterium paraffinicum strain M11 NODE_6_length_237986_cov_8.2054_ID_550, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium paraffinicum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_001908095.1_ASM190809v1_genomic_NZ_MKGR01000011.1.region001	NZ_MKGR01000011.1	Xenorhabdus thuongxuanensis strain 30TX1 Xentx_11, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Xenorhabdus thuongxuanensis	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus
GCF_001908105.1_ASM190810v1_genomic_NZ_MKGQ01000009.1.region001	NZ_MKGQ01000009.1	Xenorhabdus eapokensis strain DL20 Xedl_9, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Xenorhabdus eapokensis	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus
GCF_001921215.1_ASM192121v1_genomic_NZ_MSIF01000001.1.region009	NZ_MSIF01000001.1	Actinophytocola xinjiangensis strain CGMCC 4.4663 contig1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Actinophytocola xinjiangensis	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae
GCF_001929405.1_ASM192940v1_genomic_NZ_KV880769.1.region002	NZ_KV880769.1	Herbaspirillum camelliae strain WT00C Scaffold1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Herbaspirillum camelliae	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum
GCF_001938985.1_ASM193898v1_genomic_NZ_MKIN01000021.1.region001	NZ_MKIN01000021.1	Rhizobium taibaishanense strain 14971 C197, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Rhizobium taibaishanense	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium
GCF_001941505.1_ASM194150v1_genomic_NZ_CP009248.1.region001	NZ_CP009248.1	Corynebacterium sphenisci DSM 44792 chromosome, complete genome	NRP-siderophore.NRPS	Others	Corynebacterium sphenisci DSM 44792	Bacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
GCF_001941565.1_ASM194156v1_genomic_NZ_CP009249.1.region003	NZ_CP009249.1	Corynebacterium phocae strain M408/89/1 chromosome, complete genome	NRP-siderophore.NRPS	Others	Corynebacterium phocae	Bacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium
GCF_001941945.1_ASM194194v1_genomic_NZ_CP015583.1.region001	NZ_CP015583.1	Roseomonas gilardii strain U14-5 chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Roseomonas gilardii	Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas
GCF_001942625.1_ASM194262v1_genomic_NZ_MLCL01000029.1.region001	NZ_MLCL01000029.1	Mycobacterium syngnathidarum strain 27335 NODE_3_length_380164_cov_26.9084, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycobacterium syngnathidarum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_001953865.1_ASM195386v1_genomic_NZ_MQUQ01000009.1.region001	NZ_MQUQ01000009.1	Amycolatopsis coloradensis strain DSM 44225 contig_9, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Amycolatopsis coloradensis	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
GCF_001953865.1_ASM195386v1_genomic_NZ_MQUQ01000018.1.region002	NZ_MQUQ01000018.1	Amycolatopsis coloradensis strain DSM 44225 contig_18, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Amycolatopsis coloradensis	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
GCF_001957165.1_ASM195716v1_genomic_NZ_MPHM01000004.1.region001	NZ_MPHM01000004.1	Vibrio ostreicida strain UCD-KL16 scaffold_3, whole genome shotgun sequence	NRP-siderophore.NRPS.opine-like-zincophore	Others	Vibrio ostreicida	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
GCF_001981305.1_ASM198130v1_genomic_NZ_MSCW01000008.1.region001	NZ_MSCW01000008.1	Marinobacter lutaoensis strain T5054 DSM17466_contig_8, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Marinobacter lutaoensis	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter
GCF_001984825.2_ASM198482v2_genomic_NZ_CP043318.1.region001	NZ_CP043318.1	Enterobacter chengduensis strain WCHECl-C4 = WCHECh050004 chromosome, complete genome	NRP-siderophore.NRPS	Others	Enterobacter chengduensis	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae complex
GCF_001991015.1_ASM199101v1_genomic_NZ_MTLN01000008.1.region002	NZ_MTLN01000008.1	Pseudomonas psychrotolerans strain SDS18 SO_6301contig_8, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pseudomonas psychrotolerans	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_001995215.1_ASM199521v1_genomic_NZ_MUXN01000010.1.region001	NZ_MUXN01000010.1	Amycolatopsis azurea DSM 43854 contig_10, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Amycolatopsis azurea DSM 43854	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
GCF_001995215.1_ASM199521v1_genomic_NZ_MUXN01000015.1.region001	NZ_MUXN01000015.1	Amycolatopsis azurea DSM 43854 contig_15, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Amycolatopsis azurea DSM 43854	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
GCF_001996005.1_ASM199600v1_genomic_NZ_MUFB01000010.1.region001	NZ_MUFB01000010.1	Salinivibrio siamensis strain JCM 14472 scaffold10.1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Salinivibrio siamensis	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Salinivibrio
GCF_002005305.1_ASM200530v1_genomic_NZ_CP014782.1.region003	NZ_CP014782.1	Shewanella psychrophila strain WP2 chromosome, complete genome	NRP-siderophore.NRPS.T1PKS	Others	Shewanella psychrophila	Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella
GCF_002006995.1_ASM200699v1_genomic_NZ_MRUL01000014.1.region001	NZ_MRUL01000014.1	Izhakiella australiensis strain D4N98 NODE_14_length_110028_cov_111.447_ID_3373, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Izhakiella australiensis	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Izhakiella
GCF_002008225.1_ASM200822v1_genomic_NZ_MRDH01000022.1.region001	NZ_MRDH01000022.1	Agrobacterium salinitolerans strain YIC 5082 scaffold7, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Agrobacterium salinitolerans	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Agrobacterium
GCF_002019735.1_ASM201973v1_genomic_NZ_KV917378.1.region004	NZ_KV917378.1	Salipaludibacillus agaradhaerens strain DSM 8721 Scaffold1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Salipaludibacillus agaradhaerens	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae
GCF_002021755.1_ASM202175v1_genomic_NZ_CP019959.1.region001	NZ_CP019959.1	Vibrio owensii strain XSBZ03 chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Vibrio owensii	Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
GCF_002028325.1_ASM202832v1_genomic_NZ_CP018420.1.region004	NZ_CP018420.1	Pseudomonas veronii strain R02 chromosome, complete genome	NRP-siderophore.NRPS	Others	Pseudomonas veronii	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_002028325.1_ASM202832v1_genomic_NZ_CP018420.1.region006	NZ_CP018420.1	Pseudomonas veronii strain R02 chromosome, complete genome	NRP-siderophore.NRPS	Others	Pseudomonas veronii	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_002055515.1_ASM205551v1_genomic_NZ_CP020000.1.region005	NZ_CP020000.1	Acinetobacter calcoaceticus strain CA16 chromosome, complete genome	NRP-siderophore.redox-cofactor.NRPS	Others	Acinetobacter calcoaceticus	Bacteria,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus/baumannii complex
GCF_002072065.1_ASM207206v1_genomic_NZ_CP017694.1.region004	NZ_CP017694.1	Geobacillus thermodenitrificans strain KCTC3902 chromosome, complete genome	NRP-siderophore.NRPS	Others	Geobacillus thermodenitrificans	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
GCF_002074095.1_ASM207409v1_genomic_NZ_CP014842.1.region003	NZ_CP014842.1	Bacillus licheniformis strain SCDB 14 chromosome, complete genome	NRP-siderophore.NRPS	Others	Bacillus licheniformis	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
GCF_002077695.1_ASM207769v1_genomic_NZ_MWUE01000007.1.region001	NZ_MWUE01000007.1	Pantoea latae strain AS1 6__len__215339, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pantoea latae	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
GCF_002078095.1_ASM207809v1_genomic_NZ_MSPX01000003.1.region001	NZ_MSPX01000003.1	Rhizobium rhizosphaerae strain RD15 contig_3, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Rhizobium rhizosphaerae	Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Rhizobium
GCF_002081795.1_ASM208179v1_genomic_NZ_LOKT01000001.1.region001	NZ_LOKT01000001.1	Nocardia donostiensis strain W9944 1, whole genome shotgun sequence	NRP-siderophore.NRPS.terpene	Others	Nocardia donostiensis	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
GCF_002081795.1_ASM208179v1_genomic_NZ_LOKT01000014.1.region001	NZ_LOKT01000014.1	Nocardia donostiensis strain W9944 14, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Nocardia donostiensis	Bacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia
GCF_002081995.1_ASM208199v1_genomic_NZ_CP015108.1.region002	NZ_CP015108.1	Sporosarcina ureae strain S204 chromosome, complete genome	NRP-siderophore.NRPS.betalactone	Others	Sporosarcina ureae	Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina
GCF_002082175.1_ASM208217v1_genomic_NZ_CP020570.1.region004	NZ_CP020570.1	Streptomyces violaceoruber strain S21 chromosome, complete genome	NRP-siderophore.NRPS	Others	Streptomyces violaceoruber	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces anthocyanicus group
GCF_002082585.1_ASM208258v1_genomic_NZ_CP020563.1.region004	NZ_CP020563.1	Kitasatospora albolonga strain YIM 101047 chromosome, complete genome	NRP-siderophore.NRPS	Others	Kitasatospora albolonga	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
GCF_002082585.1_ASM208258v1_genomic_NZ_CP020563.1.region005	NZ_CP020563.1	Kitasatospora albolonga strain YIM 101047 chromosome, complete genome	NRP-siderophore.melanin.NRPS	Others	Kitasatospora albolonga	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
GCF_002082585.1_ASM208258v1_genomic_NZ_CP020563.1.region034	NZ_CP020563.1	Kitasatospora albolonga strain YIM 101047 chromosome, complete genome	NRP-siderophore.NRPS.T1PKS	Others	Kitasatospora albolonga	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
GCF_002086115.1_ASM208611v1_genomic_NZ_MVHJ01000003.1.region001	NZ_MVHJ01000003.1	Mycolicibacterium bacteremicum strain DSM 45578 NODE_3_length_367189_cov_40.0363, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycolicibacterium bacteremicum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_002086125.1_ASM208612v1_genomic_NZ_MVHG01000003.1.region001	NZ_MVHG01000003.1	Mycobacterium arosiense ATCC BAA-1401 = DSM 45069 Mycobacterium_arosiense_DSM45069_contig3, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycobacterium arosiense ATCC BAA-1401 = DSM 45069	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium complex (MAC)
GCF_002086155.1_ASM208615v1_genomic_NZ_MVHE01000006.1.region002	NZ_MVHE01000006.1	Mycobacterium angelicum strain DSM 45057 NODE_6_length_221881_cov_20.1514_ID_26335, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium angelicum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_002086165.1_ASM208616v1_genomic_NZ_MVHL01000022.1.region001	NZ_MVHL01000022.1	Mycobacterium bouchedurhonense strain DSM 45439 NODE_22_length_77784_cov_15.2017, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium bouchedurhonense	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium complex (MAC)
GCF_002086285.1_ASM208628v1_genomic_NZ_MVHU01000021.1.region001	NZ_MVHU01000021.1	Mycolicibacter kumamotonensis strain DSM 45093 NODE_21_length_84257_cov_91.0241, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycolicibacter kumamotonensis	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacter
GCF_002086485.1_ASM208648v1_genomic_NZ_MVHF01000001.1.region001	NZ_MVHF01000001.1	Mycobacterium aquaticum strain RW6 NODE_1_length_432945_cov_42.1885, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium aquaticum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_002086695.1_ASM208669v1_genomic_NZ_MVIH01000002.1.region001	NZ_MVIH01000002.1	Mycolicibacterium rhodesiae strain DSM 44223 Mycobacterium_rhodesiae_DSM44223_contig2, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycolicibacterium rhodesiae	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_002086735.1_ASM208673v1_genomic_NZ_MVIJ01000001.1.region001	NZ_MVIJ01000001.1	Mycobacterium scrofulaceum strain DSM 43992 NODE_1_length_467512_cov_40.3479, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycobacterium scrofulaceum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_002086795.1_ASM208679v1_genomic_NZ_MVIM01000004.1.region002	NZ_MVIM01000004.1	Mycolicibacterium tusciae strain DSM 44338 NODE_4_length_463117_cov_64.4967, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycolicibacterium tusciae	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_002086915.1_ASM208691v1_genomic_NZ_MWQA01000001.1.region003	NZ_MWQA01000001.1	Mycobacterium persicum strain 12MK PseudoContig_CP009483.1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium persicum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_002086915.1_ASM208691v1_genomic_NZ_MWQA01000001.1.region004	NZ_MWQA01000001.1	Mycobacterium persicum strain 12MK PseudoContig_CP009483.1, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium persicum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_002091575.1_ASM209157v1_genomic_NZ_BCZZ01000014.1.region001	NZ_BCZZ01000014.1	Pseudomonas flavescens NBRC 103044, whole genome shotgun sequence	NRP-siderophore.NRPS.betalactone	Others	Pseudomonas flavescens NBRC 103044	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
GCF_002095315.1_ASM209531v1_genomic_NZ_MLFN01000128.1.region001	NZ_MLFN01000128.1	Pantoea conspicua strain LMG 24534 Contig0205_, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pantoea conspicua	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
GCF_002095475.1_ASM209547v1_genomic_NZ_MLFR01000007.1.region001	NZ_MLFR01000007.1	Pantoea rwandensis strain LMG 26275 Contig0007_, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Pantoea rwandensis	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
GCF_002097715.1_ASM209771v1_genomic_NZ_CP020737.1.region001	NZ_CP020737.1	Burkholderia ubonensis subsp. mesacidophila strain ATCC 31433 chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Burkholderia ubonensis subsp. mesacidophila	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex
GCF_002097715.1_ASM209771v1_genomic_NZ_CP020737.1.region002	NZ_CP020737.1	Burkholderia ubonensis subsp. mesacidophila strain ATCC 31433 chromosome 1, complete sequence	NRP-siderophore.NRPS	Others	Burkholderia ubonensis subsp. mesacidophila	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cepacia complex
GCF_002101555.1_ASM210155v1_genomic_NZ_LQOL01000052.1.region001	NZ_LQOL01000052.1	Mycolicibacterium canariasense strain CCUG 47953 contig_43, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycolicibacterium canariasense	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_002101555.1_ASM210155v1_genomic_NZ_LQOL01000060.1.region001	NZ_LQOL01000060.1	Mycolicibacterium canariasense strain CCUG 47953 contig_50, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycolicibacterium canariasense	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_002101585.1_ASM210158v1_genomic_NZ_LQOT01000060.1.region001	NZ_LQOT01000060.1	Mycolicibacter engbaekii strain ATCC 27353 contig_63, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycolicibacter engbaekii	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacter
GCF_002101675.1_ASM210167v1_genomic_NZ_LQOY01000207.1.region001	NZ_LQOY01000207.1	Mycobacterium gordonae strain DSM 44160 contig_50, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycobacterium gordonae	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_002101705.1_ASM210170v1_genomic_NZ_LQPC01000027.1.region001	NZ_LQPC01000027.1	Mycolicibacterium iranicum strain DSM 45541 contig_33, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycolicibacterium iranicum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_002101775.1_ASM210177v1_genomic_NZ_LQPI01000072.1.region001	NZ_LQPI01000072.1	Mycolicibacter nonchromogenicus strain DSM 44164 contig_74, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycolicibacter nonchromogenicus	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacter
GCF_002101785.1_ASM210178v1_genomic_NZ_LQPJ01000127.1.region001	NZ_LQPJ01000127.1	Mycobacterium palustre strain DSM 44572 contig_70, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium palustre	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium simiae complex
GCF_002101815.1_ASM210181v1_genomic_NZ_LQPM01000006.1.region002	NZ_LQPM01000006.1	Mycobacterium paraense strain IEC26 contig_14, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycobacterium paraense	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium simiae complex
GCF_002101875.1_ASM210187v1_genomic_NZ_LQPR01000020.1.region001	NZ_LQPR01000020.1	Mycobacterium saskatchewanense strain DSM 44616 contig_27, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium saskatchewanense	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium simiae complex
GCF_002101965.1_ASM210196v1_genomic_NZ_LQQA01000033.1.region001	NZ_LQQA01000033.1	Mycolicibacterium wolinskyi strain ATCC 700010 contig_6, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycolicibacterium wolinskyi	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_002102025.1_ASM210202v1_genomic_NZ_LQOK01000047.1.region001	NZ_LQOK01000047.1	Mycobacterium bohemicum strain DSM 44277 contig_51, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycobacterium bohemicum	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_002102065.1_ASM210206v1_genomic_NZ_LQOP01000008.1.region001	NZ_LQOP01000008.1	Mycolicibacterium conceptionense strain CCUG 50187 contig_16, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycolicibacterium conceptionense	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GCF_002102175.1_ASM210217v1_genomic_NZ_LQOX01000153.1.region001	NZ_LQOX01000153.1	Mycobacterium gastri strain DSM 43505 contig_98, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium gastri	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_002102185.1_ASM210218v1_genomic_NZ_LQOW01000031.1.region002	NZ_LQOW01000031.1	Mycobacterium fragae strain DSM 45731 contig_5, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium fragae	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
GCF_002102265.1_ASM210226v1_genomic_NZ_LQPG01000009.1.region002	NZ_LQPG01000009.1	Mycolicibacter longobardus strain DSM 45394 contig_17, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycolicibacter longobardus	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacter
GCF_002102355.1_ASM210235v1_genomic_NZ_LQPT01000101.1.region001	NZ_LQPT01000101.1	Mycobacterium sherrisii strain ATCC BAA-832 contig_74, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycobacterium sherrisii	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium simiae complex
GCF_002102395.1_ASM210239v1_genomic_NZ_LQPZ01000012.1.region001	NZ_LQPZ01000012.1	Mycolicibacillus trivialis strain DSM 44153 contig_2, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycolicibacillus trivialis	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacillus
GCF_002102415.1_ASM210241v1_genomic_NZ_LQPY01000030.1.region001	NZ_LQPY01000030.1	Mycobacterium triplex strain DSM 44626 contig_36, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Mycobacterium triplex	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium simiae complex
GCF_002105195.1_ASM210519v1_genomic_NZ_MUHU01000010.1.region001	NZ_MUHU01000010.1	Derxia lacustris strain HL-12 isolate fresh water ctg_10, whole genome shotgun sequence	NRP-siderophore.NRPS.T1PKS	Others	Derxia lacustris	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Derxia
GCF_002116635.1_ASM211663v1_genomic_NZ_LQPW01000167.1.region001	NZ_LQPW01000167.1	Mycobacterium szulgai strain DSM 44166 contig_89, whole genome shotgun sequence	NRP-siderophore.NRPS	Others	Mycobacterium szulgai	Bacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
