ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","Oxygen tolerance"
,,,,,2687453284,
,,,,,GCA_001598055,
2033,N-1,"DSM 13513, ATCC 43291, CCUG 52238, CIP 103161, LMG 8453",1,"Cupriavidus necator",1042878.49,aerobe
,,,,,1042878.5,
,,,,,1042878.50,
,,,,,650716031,
,,,,,GCA_000219215,
2000,"335, R-10-e","DSM 531, ATCC 17697, CCUG 1776, LMG 1199, IMET 10383, JCM 11282, BCRC 17389, CECT 4634, CIP 104763, IAM 12368, IAM 13533, ICPB 3984, JCM 20521, JCM 20893, KACC 10467, KACC 10791, NBRC 102504, NCIMB 11842, NRRL B-14690, NRRL B-4383",0,"Wautersia eutropha",1218105.7,aerobe
,,,,,2731957713,
,,,,,BCZN00000000,
,,,,,GCA_001598755,
2040,TE26,"DSM 15562, CIP 108892, LMG 26411, CCUG 64483, NBRC 100056",1,"Cupriavidus numazuensis",221992.4,aerobe
,,,,,GCA_905397435,
2045,,"DSM 17358, CCM 7175, CCUG 46809, CIP 108131, LMG 21510",1,"Cupriavidus respiraculi",195930.4,aerobe
,,,,,GCA_914271545,
2044,R1,"DSM 17343, CCUG 44338, CIP 107717, LMG 19424, CIP 107171",1,"Cupriavidus taiwanensis",164546.7,aerobe
,,,,,644736347,
,,,,,977880.27,
,,,,,GCA_000069785,
7324,B55,"DSM 21577, JCM 14609, NBRC 101786, VTCC D6-11, CIP 109639",1,"Curtobacterium ammoniigenes",1223517.3,aerobe
,,,,,2690315830,
,,,,,BCSV00000000,
,,,,,GCA_001571045,
7315,2Y-12,"DSM 20542, ATCC 15830, CCM 2298, NCIB 11029, CCUG 23848, IAM 1632, JCM 1480, BCRC 12127, CGMCC 1.1913, CIP 102694, IAM 15150, IAM 1623, IFO 12676, IMET 10360, KCCM 12167, KCTC 3493, LMG 8787, NBRC 12676, NCCB 71046, NCIMB 11029, VKM Ac-2188, VKM B-1210",1,"Curtobacterium luteum",2893593147,aerobe
,,,,,33881.5,
,,,,,33881.6,
,,,,,33881.7,
,,,,,GCA_013359885,
,,,,,GCA_014646995,
,,,,,GCA_016907595,
,,,,,JABMCD000000000,
2939,146,"DSM 11558, ATCC 14667, CCUG 15846, LMG 4328, LMG 4327, IAM 14955, NBRC 14919, JCM 15147, BCRC 80545, IFO 14919, JCM 21432",1,"Curvibacter delicatus",1349763.3,aerobe
,,,,,2731957686,
,,,,,BCWP00000000,
,,,,,GCA_001592265,
135266,,"CIP 108608, IAM 15033, ATCC BAA 807, CCUG 49445, JCM 21496",1,"Curvibacter gracilis",JADZ00000000,aerobe
138785,,"CIP 103297, ATCC 14669, NCIMB 9461, CCUG 48175, IAM 14947, CFBP 5587, JCM 21429, BCRC 15829, LMG 21631, NBRC 103051",1,"Curvibacter lanceolatus",1265504.3,aerobe
,,,,,2519103180,
,,,,,ARLO00000000,
,,,,,GCA_000381265,
12637,,"DSM 16379, KPA 171202",0,"Cutibacterium acnes",267747.46,anaerobe
12636,,"LMG 16711, DSM 1897, ATCC 6919, CCUG 1794, JCM 6425, KCTC 3314, NCTC 737, BCRC 10723, CECT 5684, CGMCC 1.5003, CIP 53.117, KCTC 5008, LMG 3591, NBRC 107605, NRRL B-4224, VKM Ac-1450, VPI 0389",1,"Cutibacterium acnes",1122995.3,aerotolerant
,,,,,1122995.5,anaerobe
,,,,,1734925.62,
,,,,,1747.234,
,,,,,1747.45,
,,,,,1747.866,
,,,,,2515154214,
,,,,,2518285594,
,,,,,2619619216,
,,,,,2888212034,
133242,,"ATCC 11828, JCM 6473, CCUG 6369, BCRC 16146, KCTC 3320, VPI 0391",1,"Cutibacterium acnes subsp. defendens",1091045.3,aerotolerant
,,,,,2511231219,anaerobe
,,,,,CP003084,
,,,,,GCA_000231215,
12641,1689B,"DSM 4901, ATCC 25577, CCUG 36754, VPI 0179",1,"Cutibacterium avidum",2513237389,anaerobe
,,,,,2518285596,microaerophile
,,,,,997355.3,
,,,,,GCA_000227295,
12645,,"DSM 20700, ATCC 25564, CIP 110009, JCM 6498, LMG 16726, NCTC 11865, CCUG 32987, VPI 0507, BCRC 17368, CIP 103262, GIFU 7612, IFO 15672, NBRC 15672, NCFB 2586, NCIMB 702586",1,"Cutibacterium granulosum",1160719.4,anaerobe
,,,,,1160719.7,
,,,,,2512047045,
,,,,,2518285595,
,,,,,2602041680,
,,,,,2814123075,
,,,,,33011.21,
,,,,,AOSS00000000,
,,,,,GCA_000463665,
,,,,,GCA_001700755,
132605,,"DSM 29427, CCUG 66358, NTS 31307302",1,"Cutibacterium namnetense",1574624.3,aerotolerant
,,,,,,anaerobe
134150,,"KCTC 12363, LMG 23026, KMM 6143",1,"Cyclobacterium amurskyense",2636415561,aerobe
,,,,,320787.11,
,,,,,GCA_001050135,
133805,M12-11B,"KCTC 23011, NBRC 106168, CCUG 58687",1,"Cyclobacterium qasimii",1350429.3,aerobe
,,,,,2545824641,
,,,,,2890793229,
,,,,,641524.5,
,,,,,GCA_000427295,
,,,,,GCA_007991695,
166288,,"DSM 103992, KCTC 52558, SYSU SYW-6",1,"Cysteiniphilum halobium",2219059.3,"obligate aerobe"
,,,,,QLIU00000000,
140321,,"DSM 101832, CGMCC 1.15758, KCTC 52386, NBRC 112441, SYSU D3-2",1,"Cysteiniphilum litorale",2056700.3,microaerophile
,,,,,2056700.4,
,,,,,2831476743,
,,,,,GCA_003428165,
,,,,,GCA_014643575,
675,613,"DSM 12, ATCC 14575, CCM 2213, JCM 2512, NCIB 9366, NCTC 10335, CCUG 7418, NRS 613, BCRC 11730, CECT 14, CIP 52.70, IAM 12464, IAM 14179, IFO 15306, KCTC 3626, LMG 7125, NBRC 15306, NCIMB 9366, NRRL B-14307, NRRL NRS-613, VKM B-498, VTT E-97061",1,"Cytobacillus firmus",1314753.7,aerobe
,,,,,1399.16,
,,,,,2731957652,
,,,,,2814123191,
,,,,,BCUY00000000,
,,,,,GCA_001591465,
,,,,,GCA_900445365,
1297,1P01SC,"DSM 23495, MTCC 9535, NRRL B-59162",1,"Cytobacillus horneckiae",GCA_002835735,aerobe
1318,"do080905 5-1, G 5819","DSM 23667, CCUG 59877, LMG 25855, WCC 4582",1,"Cytobacillus kochii",2926483779,aerobe
1303,H2,"DSM 24771, CGMCC 1.10115, JCM 16506, BCRC 80336",1,"Cytobacillus oceanisediminis",2596583545,aerobe
,,,,,665099.9,
,,,,,GCA_007830235,
140355,FJAT-25547,"DSM 101002, CCTCC AB 2015208",1,"Cytobacillus praedii",GCA_001439605,aerobe
3767,D465,"DSM 1761, ATCC 33406, IFO 15051, NBRC 15051, NCIB 9469, Cy h1, JCM 20678, CIP 103989, IAM 12607, LMG 10844, LMG 8361, NCDO 2694, NCIMB 9469",1,"Cytophaga hutchinsonii",2616644809,aerobe
,,,,,269798.16,
,,,,,269798.25,
,,,,,637000087,
,,,,,CP000383,
,,,,,FPJX00000000,
,,,,,GCA_000014145,
,,,,,GCA_900119565,
24548,"N7d-4, P-2","DSM 22385, KCTC 22699, JCM 16318",1,"Daejeonella lutea",2595698248,aerobe
,,,,,572036.3,
,,,,,FUYR00000000,
,,,,,GCA_900168015,
14114,N7,"DSM 19973, KACC 12821",1,"Daejeonella oryzae",2523231054,aerobe
,,,,,468059.3,
,,,,,GCA_000422945,
23258,W1,"DSM 24536, CIP 110258, LMG 26240",1,"Daejeonella rubra",2675903227,aerobe
,,,,,990371.3,
,,,,,GCA_900103545,
17908,SE12,"DSM 21967, JCM 13441, KCTC 12566, KOPRI 20902",1,"Dasania marina",1121374.3,aerobe
,,,,,2515154073,
,,,,,ARDZ00000000,
,,,,,GCA_000373485,
13894,CKB,"DSM 13637, ATCC 700666",1,"Dechloromonas agitata",2506520023,aerobe
,,,,,,anaerobe
13896,MA-1,"DSM 15637, ATCC BAA 776",1,"Dechloromonas hortensis",337779.3,anaerobe
,,,,,GCA_009469765,microaerophile
10516,Nsw-4,"DSM 24713, BCRC 17934, LMG 24817",1,"Deefgea chitinilytica",2931366155,aerobe
,,,,,570276.4,
,,,,,GCA_016881405,
10515,,"DSM 18356, WB 3.4-79",1,"Deefgea rivuli",1121375.3,"facultative anaerobe"
,,,,,2556921014,
,,,,,GCA_000620145,
3845,SL50,"DSM 21529, VKPM B-10097",1,"Deferribacter autotrophicus",GCA_008362905,anaerobe
3841,SSM1,"DSM 14783, JCM 11476, NBRC 101012",1,"Deferribacter desulfuricans",639282.12,anaerobe
,,,,,639282.3,"obligate anaerobe"
,,,,,646564525,
,,,,,AP011529,
,,,,,GCA_000010985,
18151,S3R1,"DSM 24185, VKM B-2672",1,"Deferrisoma camini",1125863.3,anaerobe
,,,,,2517093047,
,,,,,GCA_000526155,
140265,A6,"DSM 28090, ACCC 19951",1,"Defluviitalea raffinosedens",1450156.4,anaerobe
,,,,,2901198348,
,,,,,GCA_016908775,
130829,L3,"DSM 29926",0,"Defluviitoga tunisiensis",2648501800,anaerobe
,,,,,GCA_000953715,
11761,PER-K23,"DSM 9455",1,"Dehalobacter restrictus",2510065016,anaerobe
,,,,,871738.5,
,,,,,GCA_000512895,
133751,195,"ATCC BAA 2266, KCTC 15142",1,"Dehalococcoides mccartyi",637000089,anaerobe
,,,,,CP000027,
,,,,,GCA_000011905,
,,,,,NC_002936,
133898,IP3-3,"JCM 17062, NRRL B-59545",1,"Dehalogenimonas alkenigignens",2802429288,anaerobe
,,,,,GCA_001466665,
140462,NSZ-14,"HAMBI 3672, JCM 19277, VKM B-3058",1,"Dehalogenimonas formicexedens",2773857847,anaerobe
,,,,,GCA_001953175,
133531,BL-DC-9,"ATCC BAA 1523, JCM 15061",1,"Dehalogenimonas lykanthroporepellens",552811.9,anaerobe
,,,,,648028022,
,,,,,GCA_000143165,
3901,"K-bf-PMWA-4.1, K4.1","DSM 21458, HAMBI 2721",1,"Deinobacterium chartae",2861587418,aerobe
,,,,,521158.3,
,,,,,GCA_014202645,
141115,BM2,"KEMB 5401-184, JCM 30700",1,"Deinococcus actinosclerus",CP013910,aerobe
,,,,,GCA_001507665,
3894,TR0125,"DSM 21212, CIP 110035, JCM 11750",1,"Deinococcus aerius",2895784119,aerobe
,,,,,BFAG00000000,
,,,,,GCA_002897375,
3897,5516T-9,"DSM 24781, JCM 15442, KACC 12745",0,"Deinococcus aerolatus",522487.3,aerobe
,,,,,GCA_014647055,
3898,5516T-11,"DSM 24869, JCM 15443, KACC 12746",1,"Deinococcus aerophilus",522488.3,aerobe
,,,,,GCA_014647075,
3873,KR-36,"DSM 19763, LMG 22135, NRRL B-23948, CCUG 56028",1,"Deinococcus apachensis",1121377.3,aerobe
,,,,,2519103012,
,,,,,GCA_000381345,
3891,"MIFE 35041/06","DSM 23025, CCM 7524, CCUG 53370",1,"Deinococcus aquatilis",1121378.3,aerobe
,,,,,2519899682,
,,,,,GCA_000378445,
166257,OD32,"KCTC 33972, CICC 24671",1,"Deinococcus arcticus",GCA_003028415,aerobe
,,,,,NZ_PYSV00000000,
133034,FeSTC15-38,"DSM 101791, NCAIM B.02630",1,"Deinococcus budaensis",1665626.3,aerobe
,,,,,2861295632,
,,,,,GCA_014201885,
3888,5516J-15,"DSM 18568, CIP 109796, KACC 11606",1,"Deinococcus cellulosilyticus",1223518.3,aerobe
,,,,,GCA_007990775,
3900,"MJ27, B-17D","DSM 26465, JCM 16918, KCTC 13751",1,"Deinococcus daejeonensis",1007098.3,aerobe
,,,,,GCA_014647175,
3863,VCD115,"DSM 17065, CIP 109153, LMG 22923",1,"Deinococcus deserti",546414.17,aerobe
,,,,,546414.18,
,,,,,546414.19,
,,,,,546414.3,
,,,,,643692020,
,,,,,GCA_000020685,
166403,H1,"CGMCC 1.13938, JCM 33291",1,"Deinococcus detaillensis",GCA_007280555,aerobe
,,,,,VKDB00000000,
3885,CC-FR2-10,"DSM 19119, CCUG 51391, CIP 108832",1,"Deinococcus ficus",1121379.3,aerobe
,,,,,2524614857,
,,,,,2739367875,
,,,,,GCA_000430865,
,,,,,GCA_003444775,
158506,FeSDHB5-19,"DSM 106917, NCAIM B.02639",1,"Deinococcus fonticola",2528713.3,aerobe
,,,,,GCA_004634215,
,,,,,SMMH00000000,
3893,I-0,"DSM 21396, CGMCC 1.7299, JCM 16679",1,"Deinococcus gobiensis",2512564069,"facultative anaerobe"
,,,,,745776.12,
,,,,,745776.13,
,,,,,745776.14,
,,,,,745776.15,
,,,,,745776.16,
,,,,,745776.17,
,,,,,745776.4,
,,,,,CP002191,
,,,,,GCA_000252445,
3876,KR-140,"DSM 18049, LMG 22133, NRRL B-23943, CCUG 55996",1,"Deinococcus hopiensis",2509276064,aerobe
,,,,,GCA_900176165,
23889,MK03,"DSM 27939, JCM 17915, KCTC 13619",1,"Deinococcus humi",2597489808,aerobe
,,,,,2861281385,
,,,,,662880.4,
,,,,,662880.5,
,,,,,GCA_014201875,
,,,,,GCA_014647275,
159760,17bor-2,"KCTC 33907, NBRC 113037",1,"Deinococcus irradiatisoli",GCA_003173015,aerobe
159872,SJW1-2,"KACC 19332, NBRC 112908",1,"Deinococcus koreensis",2895820470,aerobe
,,,,,GCA_002901445,
166303,"HUT-8138, KR-1","KCTC 33977",1,"Deinococcus kurensis",BLBE01000001,aerobe
,,,,,BLBE01000002,
,,,,,BLBE01000003,
,,,,,BLBE01000004,
,,,,,BLBE01000005,
,,,,,BLBE01000006,
,,,,,BLBE01000007,
3869,AA-63,"DSM 12784, CIP 109039, NRRL B-41042",1,"Deinococcus marmoris",1121381.3,aerobe
,,,,,2561511138,
,,,,,GCA_000701405,
3858,ALT-1b,"DSM 11303, CCUG 50777, CIP 105574",1,"Deinococcus murrayi",1121383.4,microaerophile
,,,,,2527291725,
,,,,,GCA_000482805,
3887,KR-200,"DSM 19664, CIP 109416, LMG 22246, CCUG 58334",1,"Deinococcus peraridilitoris",2509276065,aerobe
,,,,,937777.10,
,,,,,937777.11,
,,,,,937777.3,
,,,,,GCA_000317835,
3851,MRP,"DSM 20540, ATCC 35074, CCM 2703, CCUG 50161, IFO 15345, NCIMB 13154, UWO 1056, JCM 6276, BCRC 17377, HAMBI 2066, IAM 12141, NBRC 101906, NBRC 15345, VKM Ac-1939",1,"Deinococcus proteolyticus",649633035,aerobe
,,,,,693977.14,
,,,,,693977.15,
,,,,,693977.16,
,,,,,693977.17,
,,,,,693977.3,
,,,,,CP002536,
,,,,,GCA_000190555,
159403,S14-83,"DSM 105285, CCTCC AB 2015449",1,"Deinococcus psychrotolerans",CP034183,"obligate aerobe"
,,,,,GCA_003860465,
3890,TDMA-uv51,"DSM 22367, CCUG 53611, JCM 14370, NBRC 102117",1,"Deinococcus roseus",392414.3,aerobe
,,,,,GCA_014646895,
133314,JSH3-1,"KCTC 33790, JCM 31311",1,"Deinococcus ruber",1848197.3,aerobe
,,,,,GCA_014648095,
133032,,"DSM 29933, CGMCC 1.15089, YIM F302",1,"Deinococcus saudiensis",1765963.3,"obligate aerobe"
,,,,,GCA_014640655,
23887,R12,"DSM 28115, CGMCC 1.8884, CIP 110212, NBRC 105665",1,"Deinococcus wulumuqiensis",1288484.10,aerobe
,,,,,1288484.11,
,,,,,1288484.12,
,,,,,1288484.13,
,,,,,1288484.14,
,,,,,1288484.15,
,,,,,1288484.16,
,,,,,1288484.17,
,,,,,1288484.18,
,,,,,1288484.19,
23888,R13,"DSM 28106, CGMCC 1.8885, NBRC 105666",0,"Deinococcus wulumuqiensis",980427.7,aerobe
,,,,,GCA_000478785,
,,,,,GCA_014645595,
6598,M6A9,"DSM 15638, JCM 10491, NCIMB 13914, ATCC BAA 482, CCM 7143, CCUG 44587, CCUG 45366, CGMCC 1.3701, CIP 106688, LMG 19872",1,"Dellaglioa algida",1423719.4,anaerobe
,,,,,2663763513,microaerophile
,,,,,AZDI00000000,
,,,,,GCA_001434695,
17837,JC2054,"DSM 19086, IMSNU 14027, JCM 12123, KCTC 9919, NBRC 106260",1,"Demequina aestuarii",1713.4,aerobe
,,,,,2690315957,
,,,,,327095.3,
,,,,,BBRD00000000,
,,,,,GCA_000975095,
,,,,,GCA_004121275,
23444,YM12-102,"DSM 27402, KCTC 19745, MBIC 08347, NBRC 106265",1,"Demequina aurantiaca",2660238532,aerobe
,,,,,676200.3,
,,,,,GCA_000975135,
17840,HR08-7,"DSM 24865, NBRC 105854",1,"Demequina flava",1095025.3,anaerobe
,,,,,2667527640,
,,,,,GCA_000975035,
23445,YM24-125,"DSM 27404, KCTC 19747, MBIC 08349, NBRC 106266",1,"Demequina globuliformis",2690315954,aerobe
,,,,,676202.3,
,,,,,GCA_000975155,
17838,"RODXS3, SV 45","DSM 19970, LMG 24795, NBRC 106155, JCM 17019",1,"Demequina lutea",2657245116,"facultative anaerobe"
,,,,,2833986135,
,,,,,431489.3,
,,,,,431489.6,
,,,,,BBRC00000000,
,,,,,GCA_000975075,
,,,,,GCA_013409005,
,,,,,JACBZO000000000,
17842,HI08-69,"DSM 24868, NBRC 105856",1,"Demequina mangrovi",1043493.3,"facultative anaerobe"
,,,,,1043493.4,
,,,,,2687453759,
,,,,,2700989458,
,,,,,GCA_000759715,
,,,,,GCA_900109245,
23446,YM05-1041,"DSM 27405, KCTC 19746, MBIC 08346, NBRC 106264",1,"Demequina oxidasica",2690315952,aerobe
,,,,,676199.3,
,,,,,GCA_000975115,
17839,KV-810,"DSM 22060, NBRC 105323",1,"Demequina salsinemoris",2671180261,aerobe
,,,,,GCA_000974805,
17841,HR08-43,"DSM 24867, NBRC 105855",0,"Demequina sediminicola",1095026.3,anaerobe
,,,,,2690315958,
,,,,,GCA_000975055,
3921,2002-46,"CCUG 39179, CCM 4700, CIP 105501, JCM 11480, DSM 11295, IFO 16164, NBRC 16164, HKI 0089, NCIMB 13517",1,"Demetria terragena",1121385.3,aerobe
,,,,,2521172561,
,,,,,AQXW00000000,
,,,,,GCA_000376825,
166499,K23C18032701,"GDMCC 1.1403, KCTC 62913",1,"Deminuibacter soli",2291815.3,aerobe
,,,,,2845931976,
,,,,,GCA_003412455,
,,,,,QTJU01000000,
17120,,"DSM 1736, ATCC 25974",1,"Dendrosporobacter quercicolus",1121386.4,anaerobe
,,,,,146817.6,
,,,,,2622736508,
,,,,,GCA_013303165,
,,,,,GCA_900104455,
13931,"AcBE2-1, AcBE2I","DSM 16959, JCM 12830",1,"Denitratisoma oestradiolicum",311182.3,aerobe
,,,,,311182.4,
,,,,,GCA_007844305,
,,,,,GCA_902813185,
,,,,,NCXS00000000,
3070,NPOH1,"DSM 21843, ATCC 700546, CCUG 56741",1,"Denitrobacterium detoxificans",2593339223,anaerobe
,,,,,2687453125,
,,,,,79604.20,
,,,,,79604.4,
,,,,,GCA_001643775,
,,,,,GCA_900110565,
3838,N2460,"DSM 12809, NBRC 114555",1,"Denitrovibrio acetiphilus",522772.6,anaerobe
,,,,,646564527,
,,,,,GCA_000025725,
132563,32,"DSM 101003, NCCP 16133",1,"Dermabacter jinjuensis",2846849301,anaerobe
132483,AD1-86,"DSM 100050, KCTC 39585",1,"Dermabacter vaginalis",2721755616,aerobe
,,,,,GCA_001678905,"facultative anaerobe"
3924,MT1.1,"DSM 17573, CIP 109302, NCIMB 14084, JCM 14339",1,"Dermacoccus abyssi",2833109367,aerobe
,,,,,GCA_003515945,
,,,,,QWLM00000000,
3940,"A-4, V.1328/1","DSM 44180, ATCC 14637, CCUG 47448, JCM 8106, NRRL B-2350, NCTC 13039, NBRC 105199",1,"Dermatophilus congolensis",1121387.3,aerobe
,,,,,1863.3,
,,,,,2523533584,
,,,,,2773857907,
,,,,,AUCS00000000,
,,,,,GCA_000429885,
,,,,,GCA_900187045,
,,,,,LT906453,
133843,HL-12,"BCRC 80208, KCTC 23311",1,"Derxia lacustris",GCA_002105195,aerobe
2272,,"DSM 20581, ATCC 8363, NCIB 9892, CCUG 38799, JCM 1969, BCRC 11883, CGMCC 1.1918, CIP 104227, IFO 12145, KCTC 3258, NBRC 12145, NCIMB 9892",1,"Desemzia incerta",2622736579,aerobe
,,,,,82801.3,
,,,,,FOXW00000000,
,,,,,GCA_900115825,
158572,KJ1-10-99,"LMG 29918, KCTC 33878",1,"Desertibacillus haloalkaliphilus",GCA_019039105,aerobe
16786,,"DSM 45169, CCUG 55916, IMMIB L-1269",1,"Desmospora activa",1121389.3,aerobe
,,,,,2737471615,microaerophile
,,,,,2784132155,
,,,,,GCA_003046315,
16673,MT-96,"DSM 13146",1,"Desulfacinum hydrothermale",1121390.3,anaerobe
,,,,,2585428172,
,,,,,GCA_900176285,
16672,BalphaG1,"DSM 9756, ACM 3991",1,"Desulfacinum infernum",1121391.4,anaerobe
,,,,,2582580750,
,,,,,GCA_900129305,
11831,RE35E1,"DSM 16058, JCM 14019",1,"Desulfotruncus alcoholivorax",1121422.3,anaerobe
,,,,,2524023147,
,,,,,AUMW00000000,
,,,,,GCA_000430885,
11829,15,"DSM 17038, JCM 12923",1,"Desulfotruncus arcticus",1121424.3,anaerobe
,,,,,2599185230,
,,,,,FOOX00000000,
,,,,,GCA_900113335,
11790,BSD,"DSM 3669, NBRC 112753",1,"Desulfoscipio geothermicus",2602042027,anaerobe
,,,,,39060.4,
,,,,,GCA_900115975,
11825,Groll,"DSM 7213, NBRC 112754",1,"Desulfoscipio gibsoniae",2508501002,anaerobe
,,,,,767817.3,
,,,,,GCA_000233715,
11817,MLF,"DSM 6562, NBRC 112758",1,"Desulfallas thermosapovorans",1121431.3,anaerobe
,,,,,2599185175,
,,,,,GCA_008124625,
17627,"Konstanz, 2st14","DSM 2075, ATCC 33931, VKM B-1802",1,"Desulfarculus baarsii",644282.4,anaerobe
,,,,,648028023,
,,,,,GCA_000143965,
3946,CV2803,"DSM 15576, ATCC BAA 743",1,"Desulfatibacillum aliphaticivorans",1121392.3,anaerobe
,,,,,2522572160,
,,,,,GCA_000429905,
3947,PF2803,"DSM 16219, ATCC BAA 924",1,"Desulfatibacillum alkenivorans",1121393.3,anaerobe
,,,,,2585428156,
,,,,,GCA_900142135,
3969,,"DSM 4660, ATCC 49792, Ani 1",1,"Desulfatiglans anilini",1121399.3,anaerobe
,,,,,2526164742,
,,,,,GCA_000422285,
3996,HB1,"DSM 18734, JCM 14470",1,"Desulfatirhabdium butyrativorans",1121394.3,anaerobe
,,,,,2524023145,
,,,,,AUCU00000000,
,,,,,GCA_000429925,
22990,S28bF,"DSM 23472, NBRC 107166",1,"Desulfatitalea tepidiphila",2690315754,anaerobe
,,,,,GCA_001293685,
11839,sk.kt5,"DSM 16504, JCM 12761",1,"Desulfitibacter alkalitolerans",1304884.3,anaerobe
,,,,,2556921039,
,,,,,GCA_000620305,
11841,,"DSM 22410, UNIQEM U794, AHT 17",1,"Desulfitispora alkaliphila",2829729602,anaerobe
11770,Co23,"DSM 11544, ATCC 700175",1,"Desulfitobacterium chlororespirans",1121395.3,anaerobe
,,,,,2582580732,
,,,,,GCA_900143285,
11762,JW/IU-DC1,"DSM 9161, ATCC 51507",1,"Desulfitobacterium dehalogenans",2507262031,anaerobe
,,,,,756499.4,
,,,,,GCA_000243155,
11765,DCB-2,"DSM 10664",1,"Desulfitobacterium hafniense",272564.6,anaerobe
,,,,,643348537,"obligate anaerobe"
,,,,,GCA_000021925,
11764,PCE-S,"DSM 14645",0,"Desulfitobacterium hafniense",GCA_000944695,anaerobe
11767,DP7,"DSM 13498",0,"Desulfitobacterium hafniense",2522572064,anaerobe
,,,,,537010.4,
,,,,,GCA_000238035,
11768,TCP-A,"DSM 13557",0,"Desulfitobacterium hafniense",2516653041,anaerobe
,,,,,872024.4,
,,,,,GCA_000378805,
11771,853-15A,"DSM 15288, ATCC BAA 636",1,"Desulfitobacterium metallireducens",2507149024,anaerobe
,,,,,871968.4,
,,,,,GCA_000231405,
11763,,"DSM 10344, PCE 1",0,"Desulfitobacterium sp.",2512875014,anaerobe
16665,ASRB2,"DSM 11109",1,"Desulfobacca acetoxidans",2504136006,anaerobe
,,,,,880072.3,
,,,,,GCA_000195295,
3954,AcRM3,"DSM 3379, ATCC 43919",1,"Desulfobacter curvatus",1121396.3,anaerobe
,,,,,2515154174,
,,,,,GCA_000373985,
3955,AcRS1,"DSM 3380, ATCC 43915",1,"Desulfobacter hydrogenophilus",2291.4,anaerobe
,,,,,2291.7,
,,,,,2890690344,
,,,,,GCA_003261095,
,,,,,GCA_004319545,
,,,,,GCA_010499545,
3956,AcRS2,"DSM 3381, ATCC 43918",1,"Desulfobacter latus",GCA_013389365,anaerobe
3963,B54,"DSM 8776",1,"Desulfobacter vibrioformis",1121398.3,anaerobe
,,,,,2571042011,
,,,,,GCA_000745975,
3965,HRM2,"DSM 3382, ATCC 43914",1,"Desulforapulum autotrophicum",177437.21,anaerobe
,,,,,177437.4,
,,,,,643692021,
3970,Hxd3,"DSM 6200, JCM 39069",0,"Desulfosudis oleivorans",96561.5,anaerobe
,,,,,CP000859,
3968,IbRM,"DSM 3385, JCM 12295",1,"Desulfocicer vacuolatum",1121400.3,anaerobe
,,,,,2681813565,
,,,,,FWXY00000000,
,,,,,GCA_900176365,
3978,PhO1,"DSM 3384, ATCC 43956",1,"Desulfobacula phenolica",2616644807,anaerobe
,,,,,90732.5,
,,,,,GCA_900105645,
4178,P1,"DSM 24233, CGMCC 1.5166",1,"Desulfobaculum xiamenense",2829737207,anaerobe
,,,,,995050.3,
,,,,,GCA_011927665,
4000,ASO4-4,"DSM 22078, UNIQEM U759",1,"Desulfobotulus alkaliphilus",2596583602,anaerobe
,,,,,GCA_007830435,
3999,,"DSM 2055, ATCC 33892, VKM B-1803, Lindhorst (1pa3)",1,"Desulfobotulus sapovorans",2574180434,anaerobe
130283,APS1,"DSM 24258, UNIQEM U900",1,"Desulfobulbus alkaliphilus",869814.3,anaerobe
,,,,,GCA_016918545,
4002,FP,"DSM 2908, ATCC 43118",1,"Desulfobulbus elongatus",1121402.3,anaerobe
,,,,,2556921601,
,,,,,GCA_000621145,
4015,Pro1,"DSM 18378, JCM 14043",1,"Desulfogranum japonicum",1121403.3,anaerobe
,,,,,2524614762,
,,,,,AUCV00000000,
,,,,,GCA_000429945,
4017,3pr10,"DSM 2058, JCM 13489",1,"Desulfogranum marinum",453220.3,anaerobe
,,,,,GCA_016918565,
4014,86FS1,"DSM 13871, JCM 15784",1,"Desulfogranum mediterraneum",1121404.3,anaerobe
,,,,,2523533605,
,,,,,AUCW00000000,
,,,,,GCA_000429965,
133072,Prop6,"DSM 103420, JCM 31535",1,"Desulfobulbus oligotrophicus",1909699.3,"obligate anaerobe"
,,,,,GCA_016446285,
4004,,"DSM 2032, ATCC 33891, Lindhorst (1pr3)",1,"Desulfobulbus propionicus",577650.3,anaerobe
,,,,,649633036,
,,,,,GCA_000186885,
4013,M16,"DSM 8777, ATCC 700652",1,"Desulfobulbus rhabdoformis",34032.3,anaerobe
,,,,,GCA_016919065,
4019,SB164P1,"DSM 10523",1,"Desulfocapsa sulfexigens",1167006.13,anaerobe
,,,,,1167006.5,
,,,,,2561511172,
,,,,,GCA_000341395,
4018,Bra2,"DSM 7269",1,"Desulfocapsa thiozymogenes",2514885009,anaerobe
24791,SCBM,"DSM 28127, JCM 19826",1,"Desulfocarbo indianensis",2654587567,anaerobe
,,,,,GCA_001184205,
,,,,,LBMP00000000,
3982,KMRActS,"DSM 5651",1,"Desulfococcus biacutus",2512047085,anaerobe
3981,"Göttingen (1be1)","DSM 2059, ATCC 33890",1,"Desulfococcus multivorans",1121405.12,anaerobe
,,,,,1121405.3,
,,,,,2568526001,
,,,,,2619619091,
,,,,,897.4,
,,,,,897.5,
,,,,,GCA_000422185,
,,,,,GCA_001854245,
,,,,,GCA_002009335,
,,,,,GCA_900167235,
140353,NAW-5,"DSM 102911, NBRC 112242",1,"Desulfocucumis palustris",2788500037,"obligate anaerobe"
,,,,,GCA_002933875,
